task	modality	subject	thr_kvox	thr_tokens	pos_kvox	pos_tokens	brain_kvox	brain_tokens	label_kvox	thr_label_kept	pos_label_kept	brain_label_kept	brain_outside_pos	pos_dropped
task4	t2w	sub-32	2663.6940	7899	5118.5360	13705	1334.8360	3339	0.1380	1.0000	1.0000	0.9928	0.0000	0.7392
task4	t2w	sub-33	2854.8000	8974	5834.8690	14589	1375.0680	3462	0.1530	1.0000	1.0000	0.9869	0.0000	0.7643
task4	t2w	sub-34	2529.1060	8002	5294.1200	13712	1308.4840	3291	0.1780	0.9944	1.0000	0.9944	0.0000	0.7528
task4	t2w	sub-35	2983.6860	9772	5854.8870	14627	1528.0470	3774	0.2280	1.0000	1.0000	1.0000	0.0000	0.7390
task4	t2w	sub-36	2327.7160	6973	5270.3870	14807	1269.8770	3193	0.1560	1.0000	1.0000	1.0000	0.0000	0.7591
task4	t2w	sub-37	2301.0140	6371	4798.7430	13548	1246.4070	3154	0.0950	1.0000	1.0000	0.9895	0.0000	0.7403
task4	t2w	sub-38	2474.1250	7219	5028.2840	13427	1365.8860	3409	0.1170	1.0000	1.0000	1.0000	0.0000	0.7284
task4	t2w	sub-39	2461.5330	7577	4906.9550	12810	1308.3080	3320	0.1920	1.0000	1.0000	1.0000	0.0000	0.7334
task4	t2w	sub-40	2590.5280	7530	4800.3750	12727	1344.3410	3365	0.1770	1.0000	1.0000	0.9887	0.0000	0.7200
task5	t1	sub_01	3195.1680	8503	4866.6210	11197	1718.7910	4250					0.0020	0.6475
task5	t1	sub_02	2900.2620	7099	6007.9590	12844	1396.7360	3481					0.0037	0.7684
task5	t1	sub_03	2510.6100	6363	6123.9560	13520	1422.8600	3571					0.0021	0.7682
task5	t1	sub_04	3027.5370	8020	6135.6240	13520	1313.6890	3302					0.0013	0.7862
task5	t1	sub_05	2960.7280	7742	5726.9210	12168	1311.8890	3285					0.0022	0.7714
task5	t1	sub_06	3423.3750	8328	5906.5550	12871	1757.6760	4321					0.0021	0.7030
task5	t1	sub_07	2927.2850	7349	4157.5570	9747	1846.3540	4564					0.0020	0.5568
task5	t1	sub_08	2947.7820	7970	4458.3940	10399	1707.7540	4221					0.0011	0.6174
task5	t1	sub_09	3396.9020	8676	4806.1680	10990	1748.5220	4259					0.0003	0.6363
task5	t1	sub_10	3400.6330	8829	6381.4300	13520	1751.9140	4256					0.0023	0.7261
task5	t1	sub_11	3222.9340	8460	6092.8050	13520	1724.0200	4254					0.0015	0.7175
task5	t1	sub_12	3414.8280	8908	4659.3210	10596	1766.3880	4331					0.0024	0.6218
task5	t1	sub_13	3029.3860	8109	6300.1990	13520	1696.4790	4163					0.0013	0.7311
task5	t1	sub_14	3012.8400	8031	6216.0010	13520	1537.9590	3801					0.0016	0.7530
task5	t1	sub_15	3160.3780	8041	4923.6820	10893	1785.6750	4388					0.0011	0.6377
task5	t1	sub_16	2423.9360	6002	3246.7340	7660	1481.2720	3683					0.0029	0.5451
task5	t1	sub_17	2652.9240	6668	4169.8070	9780	1458.5940	3581					0.0035	0.6514
task5	t1	sub_18	2367.3160	6233	3729.0830	9007	1253.2540	3087					0.0008	0.6642
task5	t1	sub_19	2763.7700	7289	5963.9670	12168	1162.0840	2924					0.0007	0.8053
task5	t1	sub_20	3000.1680	7253	4270.8000	9416	1658.5400	3985					0.0020	0.6124
task5	t1	sub_21	3754.2470	9592	4999.0140	11346	1916.7810	4691					0.0011	0.6170
task5	t1	sub_22	3358.3210	8784	4871.1820	11069	1889.1930	4622					0.0004	0.6123
task5	t1	sub_23	3097.4670	8316	4859.1990	11328	1756.7890	4347					0.0035	0.6397
